benchmark,blocks,metric,reference,median_ratio,mad,ci95_low,ci95_high,passes_1p5pct_nonregression,improvement_exceeds_3mad
call-strict-method-arguments-exact-one-arg-1m.js,15,cycles,guard,0.980505871,0.004636166,0.978812641,0.985409829,yes,yes
call-strict-method-arguments-exact-one-arg-1m.js,15,instructions,dual,0.999252126,0.000015678,0.999244683,0.999276306,yes,yes
call-strict-method-arguments-exact-one-arg-1m.js,15,instructions,guard,0.999256960,0.000020666,0.999238853,0.999277626,yes,yes
call-strict-method-arguments-missing-one-arg-1m.js,15,cycles,dual,0.999774962,0.002380470,0.997394492,1.002422158,yes,no
call-strict-method-arguments-missing-one-arg-1m.js,15,cycles,guard,0.990624425,0.004824990,0.986801628,0.998059519,yes,no
call-strict-method-arguments-missing-one-arg-1m.js,15,instructions,dual,0.999129583,0.000015050,0.999108817,0.999143334,yes,yes
call-strict-method-arguments-missing-one-arg-1m.js,15,instructions,guard,0.999135226,0.000019400,0.999124941,0.999154626,yes,yes
call-strict-method-arguments-missing-one-arg-5m.js,15,cycles,dual,1.002732667,0.002220801,0.999371336,1.004697119,yes,no
call-strict-method-arguments-missing-one-arg-5m.js,15,cycles,guard,0.987927606,0.004597614,0.986069899,0.996281597,yes,no
call-strict-method-arguments-missing-one-arg-5m.js,15,instructions,dual,0.999141088,0.000003120,0.999138189,0.999143888,yes,yes
call-strict-method-arguments-missing-one-arg-5m.js,15,instructions,guard,0.999136245,0.000005448,0.999130797,0.999143966,yes,yes
call-strict-method-missing-one-arg-10m.js,15,cycles,dual,0.997181825,0.001831675,0.995350150,1.000003778,yes,no
call-strict-method-missing-one-arg-10m.js,15,cycles,guard,0.996502168,0.002257751,0.995142916,0.998915926,yes,no
call-strict-method-missing-one-arg-10m.js,15,instructions,dual,0.997832518,0.000005755,0.997828326,0.997844913,yes,yes
call-strict-method-missing-one-arg-10m.js,15,instructions,guard,0.997836494,0.000008844,0.997818952,0.997840806,yes,yes
call-strict-method-noarguments-missing-one-arg-1m.js,15,cycles,dual,0.995568019,0.001603602,0.991302973,0.996456290,yes,no
call-strict-method-noarguments-missing-one-arg-1m.js,15,cycles,guard,0.995879757,0.001102650,0.994985767,0.996993600,yes,yes
call-strict-method-noarguments-missing-one-arg-1m.js,15,instructions,dual,0.997846419,0.000021476,0.997820091,0.997867895,yes,yes
