benchmark,block,position,binary,instructions,cycles,output_sha256
call-add-two-arg-10m.js,1,3,candidate,7995687403,1247119023,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,1,4,candidate,7995605715,1249139276,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,1,5,dual,8015721447,1249436855,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,1,6,guard,8167083740,1283929829,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,1,guard,8167099842,1279576560,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,2,dual,8015797033,1251094185,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,3,candidate,7995776189,1254170848,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,4,candidate,7996243765,1347488657,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,5,dual,8015596625,1247226375,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,2,6,guard,8167193271,1302258530,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,1,guard,8167045146,1275201912,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,2,dual,8015696259,1248025454,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,3,candidate,7995997519,1251439298,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,4,candidate,7995980150,1250892461,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,5,dual,8015725084,1251950291,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,3,6,guard,8167186549,1274389592,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,1,guard,8167215839,1274285285,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,2,dual,8015755069,1249922740,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,3,candidate,7995841694,1247087687,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,4,candidate,7995862237,1247181407,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,5,dual,8016003176,1252035642,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,4,6,guard,8167132279,1272797059,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,1,guard,8167147858,1273183241,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,2,dual,8015888337,1248669293,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,3,candidate,7995979196,1251279467,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,4,candidate,7995907289,1250179479,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,5,dual,8015805022,1251041716,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,5,6,guard,8167178984,1273612015,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,6,1,guard,8167117817,1275314142,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,6,2,dual,8015846691,1254992222,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,6,3,candidate,7995913369,1255281783,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,6,4,candidate,7995890639,1247165160,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
