engine,case,sample,instructions,cycles,task_clock_ms
qjs,C1_foreach8,3,22455932822,2952622531,757133664.000
qjs,C2_reduce8,3,21469593672,2893059356,741863392.000
qjs,C3_map8,3,43372640364,6183613793,1585638752.000
qjs,C4_sort8,3,14611157533,1941929676,497968576.000
qjs,C5_replace_fn,3,33103271177,5284770863,1355155488.000
qjs,C5_replace_fn,4,33103275457,5305561852,1360490032.000
qjs,C4_sort8,4,14610984187,1944598971,498657968.000
qjs,C3_map8,4,43372243346,6149031548,1576822832.000
qjs,C2_reduce8,4,21469338473,2875124149,737293776.000
qjs,C1_foreach8,4,22455834337,2949748852,756464848.000
qjs,N7_fapply,4,28913456430,4422007050,1133932304.000
qjs,N6_fcall,4,17984938422,3061788815,785126176.000
qjs,N5_push_pop,4,33590185139,5169021420,1325489088.000
qjs,N4_hasown_string,4,46008159218,6981447197,1790228128.000
qjs,N3d_codepointat,4,33357569657,4956356003,1270941040.000
qjs,N3c_at,4,47369427953,6759151336,1733269872.000
qjs,N3b_charat,4,45769050402,6539644876,1677001072.000
qjs,N3_charcodeat,4,32958180845,4868212688,1248416128.000
qjs,N2_max3_variadic,4,24361698709,3770046411,966754576.000
qjs,N1m_abs_method,4,25063400746,4511050807,1156758560.000
qjs,N1_abs_hoisted,4,21460512030,3375969312,865690944.000
qjs,ctrl,4,15345955875,2032756263,521263376.000
qjs,empty,4,2276155,1626387,419456.000
after,C5_replace_fn,4,41985580755,9927561549,2545755648.000
after,C4_sort8,4,15978255925,3092736590,793061904.000
after,C3_map8,4,43570966158,8053306185,2065217120.000
after,C2_reduce8,4,33163154516,6111476432,1567159200.000
after,C1_foreach8,4,25049172990,4901875643,1256984592.000
after,N7_fapply,4,33843663630,6393349783,1639427568.000
after,N6_fcall,4,23961977139,3843681904,985623328.000
after,N5_push_pop,4,23939936444,4872014218,1249309200.000
after,N4_hasown_string,4,34713917323,6357436279,1630212096.000
after,N3d_codepointat,4,19547966627,3126837264,801804000.000
after,N3c_at,4,37606835704,5970735998,1531198384.000
after,N3b_charat,4,35831420596,5714219946,1465397552.000
after,N3_charcodeat,4,19498982709,3231681345,828721040.000
after,N2_max3_variadic,4,21512594412,3485587796,893810176.000
after,N1m_abs_method,4,15310638407,2729009141,699792432.000
after,N1_abs_hoisted,4,12808686313,1917421979,491742304.000
after,ctrl,4,10152708617,1799877357,461542944.000
after,empty,4,2938936,2209878,568592.000
before,C5_replace_fn,4,42140525505,9733652488,2496016816.000
before,C4_sort8,4,15986079457,3123426747,800929600.000
before,C3_map8,4,43593310411,8135235657,2086125632.000
