p780_L1_build,qjs,929350,,armv8_pmuv3_1/stall_frontend/,9124960,100.00,,
p780_L1_build,qjs,69804354,,armv8_pmuv3_1/mem_access/,9124960,100.00,,
p780_L2_decode,qjs,275698260,,armv8_pmuv3_1/instructions/,11711600,100.00,6.04,insn per cycle
p780_L2_decode,qjs,45660025,,armv8_pmuv3_1/cycles/,11711600,100.00,,
p780_L2_decode,qjs,1088404,,armv8_pmuv3_1/stall_frontend/,11711600,100.00,,
p780_L2_decode,qjs,88621015,,armv8_pmuv3_1/mem_access/,11711600,100.00,,
p780_L2_decode,zjs,291855151,,armv8_pmuv3_1/instructions/,15373520,100.00,4.87,insn per cycle
p780_L2_decode,zjs,59939858,,armv8_pmuv3_1/cycles/,15373520,100.00,,
p780_L2_decode,zjs,3101914,,armv8_pmuv3_1/stall_frontend/,15373520,100.00,,
p780_L2_decode,zjs,137175490,,armv8_pmuv3_1/mem_access/,15373520,100.00,,
p780_L2_decode,zjs,291679884,,armv8_pmuv3_1/instructions/,15175648,100.00,4.93,insn per cycle
p780_L2_decode,zjs,59167619,,armv8_pmuv3_1/cycles/,15175648,100.00,,
p780_L2_decode,zjs,2551856,,armv8_pmuv3_1/stall_frontend/,15175648,100.00,,
p780_L2_decode,zjs,137134561,,armv8_pmuv3_1/mem_access/,15175648,100.00,,
p780_L2_decode,qjs,275758217,,armv8_pmuv3_1/instructions/,11861360,100.00,5.96,insn per cycle
p780_L2_decode,qjs,46244355,,armv8_pmuv3_1/cycles/,11861360,100.00,,
p780_L2_decode,qjs,1135877,,armv8_pmuv3_1/stall_frontend/,11861360,100.00,,
p780_L2_decode,qjs,88650165,,armv8_pmuv3_1/mem_access/,11861360,100.00,,
p780_L2_decode,qjs,275911358,,armv8_pmuv3_1/instructions/,11861168,100.00,5.97,insn per cycle
p780_L2_decode,qjs,46240399,,armv8_pmuv3_1/cycles/,11861168,100.00,,
p780_L2_decode,qjs,1115924,,armv8_pmuv3_1/stall_frontend/,11861168,100.00,,
p780_L2_decode,qjs,88661157,,armv8_pmuv3_1/mem_access/,11861168,100.00,,
p780_L2_decode,zjs,291749293,,armv8_pmuv3_1/instructions/,15421168,100.00,4.85,insn per cycle
p780_L2_decode,zjs,60127888,,armv8_pmuv3_1/cycles/,15421168,100.00,,
p780_L2_decode,zjs,2804438,,armv8_pmuv3_1/stall_frontend/,15421168,100.00,,
p780_L2_decode,zjs,136932790,,armv8_pmuv3_1/mem_access/,15421168,100.00,,
p780_L2_decode,zjs,291804278,,armv8_pmuv3_1/instructions/,15474176,100.00,4.84,insn per cycle
