binary,case,sample,instructions,cycles,task_clock_ns
zjs,L3p_ctor_shadowing,5,26093350225,4233267632,1085529472
zjs,M2_chain_read,5,3885323036,910422081,233460944
zjs,M3_poly_read,5,12689192580,2147415929,550660304
zjs,L4_generic_ctor,5,25988031466,4155299605,1065536560
zjs,L4p_generic_ctor_shadowing,5,25797766005,4122561226,1057139296
qjs,empty,5,2288915,1612997,415488
qjs,ctrl,5,20412296978,3718905156,953627952
qjs,A_direct_call,5,11767132962,1790115045,459038688
qjs,A2_direct_call_ret,5,11182260817,1821742826,467149168
qjs,B_method_call,5,11332414055,1878053382,481586304
qjs,C_apply_array_literal,5,10248829488,1629930640,417961120
qjs,C2_apply_array_hoisted,5,9834702202,1582003008,405671376
qjs,D_apply_arguments,5,8214068087,1502652846,385324496
qjs,E0_arguments_zeroarg,5,5285011774,952322962,244205056
qjs,E1_arguments_length,5,8066133796,1468247492,376500304
qjs,E2_arguments_index,5,8231253794,1484975608,380790880
qjs,E4_arguments_fourarg,5,10212143834,1828354250,468843456
qjs,F_simple_ctor,5,9631651456,1623191185,416234112
qjs,G_raytrace_ctor,5,8088256241,1447759293,371247712
qjs,H1_prop_read,5,8846554573,1565554850,401452960
qjs,H2_prop_write,5,11047108907,1740122811,446219840
qjs,I_proto_method,5,7086518536,1550360460,397558400
qjs,J_instanceof,5,9816621527,1550229734,397526272
qjs,K1_length_array,5,8846617567,1569385423,402435856
qjs,K2_length_plain,5,8846530089,1559267810,399842080
qjs,L0_ctor_noprops,5,4914612195,781498914,200402592
qjs,L3_ctor_threeprops,5,12242834183,2071474163,531186112
qjs,M1_proto_data_read,5,9246958301,1707647704,437888928
qjs,L3p_ctor_shadowing,5,12262653183,2019431432,517839312
qjs,M2_chain_read,5,4025371668,1051533967,269646544
qjs,M3_poly_read,5,13929215619,2546751968,653058688
qjs,L4_generic_ctor,5,12487742197,2066292915,529860160
qjs,L4p_generic_ctor_shadowing,5,12512738654,2050553477,525822624
qjs,L4p_generic_ctor_shadowing,6,12437796223,2031765117,521004672
qjs,L4_generic_ctor,6,12552805088,2096402743,537577456
qjs,M3_poly_read,6,13929038253,2495671180,639960208
qjs,M2_chain_read,6,4025228869,1037586381,266067920
qjs,L3p_ctor_shadowing,6,12242667922,2007309958,514734288
qjs,M1_proto_data_read,6,9246848242,1708273881,438051824
qjs,L3_ctor_threeprops,6,12242636372,2060439762,528357968
qjs,L0_ctor_noprops,6,4914569260,780305148,200095904
qjs,K2_length_plain,6,8846533260,1567132146,401859504
qjs,K1_length_array,6,8846613911,1569456890,402457184
qjs,J_instanceof,6,9816685017,1546483145,396564960
qjs,I_proto_method,6,7086494596,1547884827,396925712
qjs,H2_prop_write,6,11047182200,1746751682,447917776
qjs,H1_prop_read,6,8846581899,1568744396,402271824
qjs,G_raytrace_ctor,6,8070274002,1438475975,368867824
qjs,F_simple_ctor,6,9631643240,1625805011,416903552
qjs,E4_arguments_fourarg,6,10212112316,1817338436,466017968
qjs,E2_arguments_index,6,8231349246,1484575521,380688912
qjs,E1_arguments_length,6,8066196053,1459783398,374332016
qjs,E0_arguments_zeroarg,6,5285103703,948554751,243239312
qjs,D_apply_arguments,6,8213926265,1500407094,384748656
qjs,C2_apply_array_hoisted,6,9834595764,1582115458,405701712
qjs,C_apply_array_literal,6,10248680988,1632573185,418638992
qjs,B_method_call,6,11332354668,1880429837,482199552
qjs,A2_direct_call_ret,6,11182333362,1826482350,468365648
qjs,A_direct_call,6,11767194482,1787765656,458436528
qjs,ctrl,6,20412278786,3723079527,954700384
qjs,empty,6,2294682,1521071,392016
zjs,L4p_generic_ctor_shadowing,6,25778065237,4131080594,1059327872
zjs,L4_generic_ctor,6,25947841840,4130916626,1059292176
zjs,M3_poly_read,6,12689156939,2150163279,551384944
zjs,M2_chain_read,6,3885372121,912202862,233917392
zjs,L3p_ctor_shadowing,6,26253323168,4288981820,1099827664
zjs,M1_proto_data_read,6,8927093573,1437974357,368742144
zjs,L3_ctor_threeprops,6,13907995147,2084449846,534514032
zjs,L0_ctor_noprops,6,8796925208,1586700205,406877440
zjs,K2_length_plain,6,9167232817,1565629478,401473904
zjs,K1_length_array,6,8446987481,1408153369,361094928
zjs,J_instanceof,6,14455079292,2771937765,710804064
zjs,I_proto_method,6,9199696121,1773097431,454674208
zjs,H2_prop_write,6,10447604143,1555231571,398807888
zjs,H1_prop_read,6,8166688333,1280668395,328403984
zjs,G_raytrace_ctor,6,15340191343,2958498306,758643824
zjs,F_simple_ctor,6,11557112880,1748940328,448480528
zjs,E4_arguments_fourarg,6,17560261725,3015100166,773157584
zjs,E2_arguments_index,6,14223966259,2397225561,614722432
zjs,E1_arguments_length,6,13128350631,2182558537,559673808
zjs,E0_arguments_zeroarg,6,8286131900,1327124522,340322208
zjs,D_apply_arguments,6,13273857068,2461068420,631093120
zjs,C2_apply_array_hoisted,6,13040920829,2452310152,628842144
zjs,C_apply_array_literal,6,13190826135,2416555221,619674064
zjs,B_method_call,6,12958741001,2258526591,579152176
zjs,A2_direct_call_ret,6,12058220098,2058639747,527896704
zjs,A_direct_call,6,13118639546,2202366842,564752784
zjs,ctrl,6,18213310464,3078324287,789368448
zjs,empty,6,2445287,1842743,474720
zjs,empty,7,2446919,1633673,420784
zjs,ctrl,7,18213338291,3066789740,786417168
zjs,A_direct_call,7,13118671434,2193535680,562489888
zjs,A2_direct_call_ret,7,12058361228,2059383747,528097504
zjs,B_method_call,7,12958974188,2290286134,587314048
zjs,C_apply_array_literal,7,13190809413,2415735529,619475152
zjs,C2_apply_array_hoisted,7,13040890138,2448822328,627955088
zjs,D_apply_arguments,7,13273897707,2460267324,630885920
zjs,E0_arguments_zeroarg,7,8286211465,1325627517,339933968
zjs,E1_arguments_length,7,13128348982,2174855510,557698752
zjs,E2_arguments_index,7,14223837835,2425349178,621933424
zjs,E4_arguments_fourarg,7,17560281081,3025235904,775759024
zjs,F_simple_ctor,7,11652345258,1774590508,455059856
zjs,G_raytrace_ctor,7,15340200313,2973438144,762475600
zjs,H1_prop_read,7,8166629664,1284093057,329281328
zjs,H2_prop_write,7,10447666021,1555336617,398838112
zjs,I_proto_method,7,9199513458,1771834005,454349936
zjs,J_instanceof,7,14455079158,2765121202,709055824
zjs,K1_length_array,7,8446942774,1408123495,361088144
zjs,K2_length_plain,7,9167205184,1564498264,401187008
zjs,L0_ctor_noprops,7,8796941411,1585565564,406590272
zjs,L3_ctor_threeprops,7,13908114440,2087015857,535172624
zjs,M1_proto_data_read,7,8927119811,1441580364,369667184
zjs,L3p_ctor_shadowing,7,26183414647,4261812813,1092857488
zjs,M2_chain_read,7,3885256765,910684258,233529440
zjs,M3_poly_read,7,12689201711,2141957075,549277552
zjs,L4_generic_ctor,7,25947906103,4140657244,1061788672
zjs,L4p_generic_ctor_shadowing,7,25797825800,4110289175,1054013200
qjs,empty,7,2286218,1510036,389472
qjs,ctrl,7,20412508725,3719500543,953784256
qjs,A_direct_call,7,11767068783,1783022074,457229088
qjs,A2_direct_call_ret,7,11182161329,1821731005,467144384
qjs,B_method_call,7,11332316704,1882110143,482632032
qjs,C_apply_array_literal,7,10248658271,1635432270,419397232
qjs,C2_apply_array_hoisted,7,9834583781,1580775608,405368416
qjs,D_apply_arguments,7,8213938033,1503207780,385477984
qjs,E0_arguments_zeroarg,7,5285097503,946183898,242632624
qjs,E1_arguments_length,7,8066217814,1469872404,376918752
qjs,E2_arguments_index,7,8231282206,1476538314,378629104
qjs,E4_arguments_fourarg,7,10212123755,1818094906,466229552
qjs,F_simple_ctor,7,9631668841,1618868154,415128912
qjs,G_raytrace_ctor,7,8070327027,1437371635,368586912
qjs,H1_prop_read,7,8846532057,1560180510,400075088
qjs,H2_prop_write,7,11046968846,1745896008,447702048
qjs,I_proto_method,7,7086526360,1556863886,399236000
qjs,J_instanceof,7,9816511252,1550381206,397563856
qjs,K1_length_array,7,8846590672,1565901978,401546240
qjs,K2_length_plain,7,8846632775,1557410784,399365776
qjs,L0_ctor_noprops,7,4914582834,788219100,202124688
qjs,L3_ctor_threeprops,7,12307920585,2077322626,532687344
qjs,M1_proto_data_read,7,9247103907,1711306390,438831344
qjs,L3p_ctor_shadowing,7,12222647074,2008558900,515055424
qjs,M2_chain_read,7,4025327846,1038454520,266291088
qjs,M3_poly_read,7,13929162724,2499877909,641041664
qjs,L4_generic_ctor,7,12487824853,2078568330,533004352
qjs,L4p_generic_ctor_shadowing,7,12437695518,2020585543,518140160
qjs,L4p_generic_ctor_shadowing,8,12417742667,2018886852,517701440
qjs,L4_generic_ctor,8,12487711076,2076936339,532587184
qjs,M3_poly_read,8,13929130726,2484819488,637177904
qjs,M2_chain_read,8,4025542722,1044919562,267954272
qjs,L3p_ctor_shadowing,8,12222524972,2000527794,512992656
qjs,M1_proto_data_read,8,9247003511,1708589674,438132416
qjs,L3_ctor_threeprops,8,12262809045,2051275852,526006208
qjs,L0_ctor_noprops,8,4914643400,782880275,200758944
qjs,K2_length_plain,8,8846681461,1562581574,400692512
